"dias";"temperaturas"
"1";"30";"11;2;"
"2";"1";"16;0;"
"3";"2";"16;0;"
"4";"3";"16;0;"
"5";"4";"--4;"
"6";"5";"23;7;"
"7";"6";"17;6;"
"8";"7";"16;8;"
"9";"8";"16;5;"
"10";"9";"17;5;"
"11";"10";"16;5;"
"12";"11";"15;3;"
"13";"12";"14;2;"
"14";"13";"14;2;"
"15";"14";"15;2;"
"16";"15";"15;3;"
"17";"16";"15;4;"
"18";"17";"15;4;"
"19";"18";"15;4;"
"20";"19";"Avg----"
"21";"20";"Avg----"
"22";"21";"Avg----"
"23";"22";"Avg----"
"24";"23";"Avg----"
"25";"24";"Avg----"
"26";"25";"Avg----"
"27";"26";"Avg----"
"28";"27";"Avg----"
"29";"28";"Avg----"
"30";"29";"Avg----"
"31";"30";"Avg----"
"32";"31";"Avg----"
"33";"1";"Avg----"
"34";"2";"Avg----"
"35";"3";"Avg----"
